"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000013287",5446.90849645207,10925.9340698112,0,2,"02","01","02","01","01","02",2,3,"14","01","07","07","01",2,2,"01","10","04","06","03","04","06","02",0,0,2,"02","202202",1,"1022","01","20","01","01","02","20","01","01"
"9000013293",5047.53149829014,0,8896.52160039186,2,"01","01","02","01","01","02",2,4,"13","01","06","06","01",2,2,"01","10","03","01","01","04","06","02",0,0,2,"02","202202",1,"1022","02","40","02","01","-9","20","01","01"
"9000013313",12555.1874086945,15490.7074247559,0,1,"02","01","02","02","01","02",1,2,"22","01","02","02","01",1,1,"02","09","02","04","06","01","03","01",0,0,1,"01","202201",0,"1023","05","20","06","05","07","30","06","05"
"9000013315",20622.0779605276,26266.5504948064,0,1,"01","01","01","02","01","02",1,0,"21","01","06","06","03",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202201",1,"1023","04","05","05","04","06","20","05","04"
"9000013338",4241.37701051698,5420.00657790545,0,1,"03","03","01","02","01","02",0,2,"21","01","03","03","01",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202202",0,"1023","03","70","06","06","08","50","06","06"
"9000013354",21900.6342475333,27599.2950069807,0,2,"03","03","01","02","01","02",0,2,"21","01","06","06","03",2,0,"01","02","01","05","02","01","04","01",0,0,2,"01","202201",1,"1023","05","90","08","08","08","90","04","08"
"9000013356",3624.02816988742,0,11070.9463044382,2,"01","01","01","02","01","02",2,4,"21","01","07","07","01",2,2,"01","10","01","05","01","01","04","01",0,0,2,"01","202202",0,"1023","04","05","06","05","07","05","06","05"
"9000013358",29564.9605107509,36593.0625374382,0,1,"03","03","01","02","01","02",0,0,"21","01","05","05","03",1,0,"02","09","01","05","04","01","04","01",0,0,1,"01","202202",0,"1023","05","70","08","08","08","80","08","05"
"9000013360",33742.9910038911,47928.0937254241,0,4,"01","01","01","02","01","02",4,7,"21","01","09","09","01",4,4,"01","08","01","05","06","01","04","01",0,0,4,"01","202202",3,"1023","02","05","04","02","04","01","04","03"
"9000013362",16245.3081673493,22688.6263034745,0,2,"01","01","02","02","01","02",2,7,"22","01","09","09","01",4,2,"01","04","02","04","04","01","05","01",1,1,3,"01","202202",2,"1023","03","60","06","05","07","60","05","04"
"9000013366",7587.09028721218,12444.8297809593,0,3,"02","01","01","02","01","02",3,12,"21","01","10","10","01",3,3,"01","10","01","05","06","01","04","01",0,0,3,"01","202202",2,"1023","02","20","03","02","04","05","02","02"
"9000013373",5584.3827627132,6752.93870910219,0,1,"01","04","02","02","01","02",1,0,"23","01","05","05","01",1,2,"02","09","03","03","06","01","03","01",0,0,1,"01","202202",1,"1023","02","30","03","02","04","20","03","02"
"9000013380",12249.7078595641,18271.7541963539,0,3,"01","01","02","02","01","02",2,3,"22","01","11","11","01",3,2,"01","10","02","04","04","01","05","01",0,0,3,"01","202202",2,"1023","01","05","02","02","03","05","03","02"
"9000013382",7727.81459080932,10446.4617526621,0,1,"03","03","01","02","01","02",1,0,"21","01","07","07","03",1,1,"02","01","01","05","03","01","04","01",0,0,1,"01","202202",1,"1023","05","60","07","06","08","50","07","06"
"9000013398",14737.6329264675,19602.0800306871,0,2,"03","02","02","02","01","02",2,4,"22","01","06","06","01",2,2,"01","02","02","04","05","01","05","01",0,0,2,"01","202202",1,"1023","04","05","05","04","07","05","05","04"
"9000013411",8415.37751490071,10935.9146398345,0,1,"03","03","01","02","01","02",1,2,"21","01","07","07","03",1,1,"02","01","01","05","05","01","04","01",0,0,1,"01","202202",1,"1023","04","70","06","06","08","80","06","05"
"9000013438",6385.87650783,9091.02811500671,0,2,"04","01","02","02","01","02",2,0,"22","01","06","06","01",3,2,"01","04","02","04","03","02","06","01",0,1,2,"01","202202",2,"1023","02","30","05","05","06","30","06","05"
"9000013440",8760.98320584372,11724.4275464336,0,2,"02","03","01","02","01","02",2,6,"21","01","07","07","01",3,0,"01","06","01","05","05","01","04","01",1,0,3,"01","202202",1,"1023","05","40","08","07","08","30","08","08"
"9000013450",26913.8588008552,40250.0373088959,0,1,"03","03","01","02","01","02",1,2,"21","01","11","11","03",2,0,"01","07","01","05","03","01","04","01",1,0,2,"01","202208",1,"1023","05","60","06","08","08","50","08","08"
"9000013509",17439.2019345192,23542.460392892,0,2,"01","01","02","02","01","02",3,4,"23","01","03","03","01",3,2,"02","08","03","03","03","04","06","02",1,0,3,"02","202202",1,"1024","01","20","01","01","01","20","01","01"
"9000013512",6335.44008732375,0,21234.2558015572,1,"01","01","02","02","01","02",1,0,"22","01","06","06","01",1,1,"02","01","02","04","01","01","03","01",0,0,1,"01","202202",1,"1023","05","30","06","05","07","20","06","05"
"9000013514",4648.293023604,0,20011.519467519,1,"01","02","01","02","01","02",1,0,"21","01","04","04","01",1,1,"02","09","01","05","01","04","06","02",0,0,1,"02","202202",0,"1024","01","05","02","02","03","20","02","-9"
"9000013519",9463.79959723491,14098.2231014112,0,2,"02","01","01","02","01","02",2,2,"21","01","07","07","01",2,2,"01","10","01","05","03","01","04","01",0,0,2,"01","202202",1,"1023","04","05","06","05","07","01","06","04"
"9000013522",52908.1902898894,65383.1875533996,0,1,"03","01","02","02","01","01",0,0,"23","01","02","02","97",1,0,"02","01","03","01","04","04","06","02",0,0,1,"01","202201",0,"1023","02","20","03","02","03","20","03","02"
"9000013525",4576.25369352465,6408.30105744016,0,2,"01","01","01","02","01","02",2,2,"21","01","07","07","01",2,2,"01","10","01","05","02","01","04","01",0,0,2,"01","202201",0,"1023","04","01","05","03","01","01","05","04"
"9000013533",10836.20233995,14059.6252651156,0,2,"03","03","02","02","01","02",2,2,"23","01","05","05","01",2,2,"02","02","03","02","06","01","02","01",0,0,2,"01","202202",1,"1023","04","50","05","04","06","80","04","03"
"9000013537",10159.4383982077,14080.0936849578,0,3,"02","01","01","02","01","01",2,1,"21","01","06","06","01",3,2,"01","10","01","05","02","01","04","01",0,0,3,"01","202202",2,"1023","03","50","07","05","07","40","07","05"
"9000013541",13310.2861421629,19136.8556467604,0,1,"03","03","01","02","01","01",1,2,"21","01","11","11","01",1,1,"02","01","01","05","04","01","04","01",0,0,1,"01","202203",1,"1023","05","70","08","08","08","70","08","08"
"9000013565",7697.08696568553,10794.546184962,0,1,"03","03","01","02","01","02",0,7,"21","01","09","09","01",1,0,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023","05","80","08","08","08","70","07","07"
"9000013572",11515.3150218172,17088.0679049817,0,1,"03","03","02","02","01","02",1,2,"23","01","10","10","01",3,1,"01","05","03","02","05","01","01","01",2,0,3,"01","202201",1,"1023","03","70","07","06","08","70","07","06"
"9000013589",7941.60282476936,10823.9770197843,0,2,"02","02","01","02","01","02",2,8,"21","01","09","09","03",2,2,"01","10","01","05","03","01","04","01",0,0,2,"01","202202",0,"1023","05","30","08","07","08","20","08","08"
"9000013594",17631.4748633769,26355.5882934373,0,2,"01","01","02","02","01","02",2,5,"23","01","10","10","01",2,3,"01","02","03","03","05","01","02","01",0,0,2,"01","202201",2,"1023","02","50","01","03","04","40","05","04"
"9000013598",35746.9882804113,50001.197203204,0,2,"02","01","01","02","01","02",2,0,"21","01","05","05","01",2,1,"01","10","01","05","04","01","04","01",0,0,2,"01","202201",0,"1023","04","05","05","03","06","01","04","03"
"9000013613",6488.4036580057,8317.89201084434,0,1,"01","01","01","02","01","02",1,2,"21","01","06","06","01",1,1,"02","01","01","05","02","01","04","01",0,0,1,"01","202201",1,"1023","04","05","05","03","06","01","05","03"
"9000013626",3464.32477863642,0,10040.9832304753,2,"01","01","01","02","01","02",2,5,"21","01","10","10","01",2,2,"01","02","01","05","01","01","04","01",0,0,2,"01","202202",2,"1023","02","05","02","02","03","01","03","02"
"9000013657",5450.92787721155,6852.71157090909,0,2,"03","02","02","02","01","02",2,12,"22","01","06","06","01",2,2,"01","02","02","04","02","01","03","01",0,0,2,"01","202201",2,"1023","04","20","04","02","05","50","04","03"
"9000013670",8068.1436243099,0,33459.300197523,2,"02","01","01","02","01","02",2,4,"21","01","07","07","01",2,2,"01","10","01","05","01","01","04","01",0,0,2,"01","202201",0,"1023","04","20","05","03","01","20","05","04"
"9000013703",23729.7757957216,0,64706.4336412001,2,"02","01","02","02","01","02",2,0,"22","01","08","08","01",2,1,"01","10","02","04","01","01","03","01",0,0,2,"01","202202",1,"1023","04","05","04","03","05","05","05","01"
"9000013704",28516.8073463341,39484.9084714596,0,2,"02","01","02","02","01","02",2,5,"23","01","04","04","01",2,2,"01","10","03","01","04","01","01","01",0,0,2,"01","202201",0,"1023","04","05","02","01","02","05","02","02"
"9000013707",8481.4752673869,10675.3391913089,0,1,"03","03","01","02","01","02",1,5,"21","01","06","06","01",1,1,"02","01","01","05","02","01","04","01",0,0,1,"01","202201",1,"1023","03","50","06","05","07","80","07","06"
"9000013744",48088.277945765,67570.7645695283,0,2,"03","03","01","02","01","01",1,0,"21","01","02","02","97",2,0,"01","02","01","05","02","01","04","01",0,0,2,"01","202202",0,"1023","05","80","07","06","08","90","08","07"
"9000013761",8193.75578726497,10734.2271675632,0,1,"02","01","02","02","01","02",1,2,"22","01","04","04","01",1,1,"02","09","02","04","02","01","03","01",0,0,1,"01","202201",0,"1023","05","20","06","05","07","01","06","05"
