HINCP,VEH,NP,PUMA,WGTP
48800,1,1,00802,40
39500,0,1,01105,68
55504,0,3,00801,163
164000,2,2,01102,74
97700,1,2,01202,284
90600,2,2,00503,51
933200,2,2,00501,49
3300,0,1,00801,360
43500,1,2,00400,67
15800,1,4,00902,295
494090,2,2,00100,44
45400,1,3,00200,268
26400,1,1,00502,75
763500,2,2,00901,54
155100,1,2,01201,94
80000,0,2,01004,20
300000,1,4,01004,12
32000,1,1,01201,309
5000,1,1,00503,40
115000,2,2,01105,34
214000,2,2,01201,156
162500,4,6,01101,32
20000,0,4,01001,288
55800,1,1,00506,55
73000,1,1,01005,43
15500,1,1,00400,55
170000,3,4,01107,276
52600,0,1,00802,147
5900,1,1,00804,111
128090,2,2,00902,58
119600,3,2,00100,58
9500,0,1,00100,42
62000,1,1,00805,55
15000,1,1,01107,152
81100,2,3,00100,71
120000,4,3,00601,133
70200,1,2,00700,311
24000,2,2,00506,188
95900,4,3,00400,83
128400,2,4,01107,61
138200,3,2,00901,73
52500,1,1,00601,50
212600,3,3,01300,47
68900,2,2,01300,88
16000,1,1,01201,190
191000,3,2,01004,50
71600,3,4,00601,33
237000,6,9,01106,67
163700,2,2,01204,50
130000,2,2,01104,330
89000,1,1,00400,188
289000,4,5,01007,51
38000,1,1,01003,48
78000,1,1,00301,18
164000,3,4,01201,47
90000,1,2,00504,128
142700,2,2,01400,42
14300,1,1,01104,79
439000,3,3,00501,91
51500,2,2,01400,49
10600,0,1,01202,93
49900,1,1,00805,57
23100,1,1,00503,39
127000,3,3,01006,91
108000,3,3,00505,97
98000,2,3,00302,44
624100,2,2,01005,11
46550,1,2,00803,162
138500,1,1,01004,52
78000,1,1,00302,24
148000,1,1,01004,70
19500,1,1,01204,100
192000,2,5,00301,25
73100,2,4,01600,73
143000,1,1,01107,158
233000,3,3,01500,43
111900,2,2,01006,82
890,0,1,00802,118
36800,0,2,00804,107
135000,2,2,00805,114
236000,4,3,01002,90
24000,1,1,00504,184
53930,3,4,00602,179
130000,1,1,01101,64
194000,2,2,01001,60
209000,2,4,01006,54
111100,1,1,00302,126
197700,2,2,00504,33
207000,3,3,00601,121
70600,2,4,00802,91
150450,5,5,01300,29
119500,3,3,01104,76
182000,2,2,00503,111
172400,2,3,00503,90
163000,3,3,00805,192
103700,2,3,01107,85
7500,0,3,01103,225
90000,2,2,00602,76
80000,2,1,01103,130
380000,3,4,01004,66
357800,4,4,01001,51
10000,0,3,00200,438
196000,1,2,01004,31
40000,1,1,01002,110
109000,2,2,00803,250
224120,2,2,00504,62
86900,2,2,00505,54
180000,2,3,01600,234
131200,2,3,00700,91
101100,1,2,01001,104
92000,2,3,01103,74
143000,3,3,01204,99
95000,2,1,01400,126
166000,2,1,00902,73
84400,1,1,01203,77
125000,1,1,01107,52
33300,1,1,00200,87
52000,3,2,00301,56
250000,4,2,01106,88
36000,0,1,00506,187
18000,2,2,00200,87
106500,2,3,00601,80
108600,2,5,00503,70
253000,3,3,01102,129
15910,0,1,01104,94
323200,4,3,01400,52
99000,2,3,01202,156
266020,0,4,00805,74
65500,2,2,00301,50
210060,2,3,00902,65
251000,4,2,00400,61
1215900,4,3,00302,50
51500,3,2,00700,61
43200,1,1,00504,66
80000,2,2,01101,40
10500,1,2,00602,55
192000,2,5,00601,156
280900,2,3,01001,59
45600,1,1,00602,113
41500,3,3,01400,18
48000,5,7,00801,311
25000,2,6,00805,54
53200,1,1,00301,56
71700,3,2,00400,132
171600,2,2,01204,126
428000,0,1,01300,89
308500,2,2,01204,97
121000,1,3,00301,168
126000,2,2,01004,85
159500,3,3,01500,146
147000,2,4,01004,46
187900,3,4,00400,51
45000,1,1,00507,157
139000,2,2,01001,188
42200,1,2,00506,88
40000,1,2,01103,190
213800,2,6,00503,47
7300,3,2,00100,51
152000,2,3,01103,61
27200,3,3,00601,48
14000,2,1,00100,12
240500,2,3,01500,185
67200,2,2,01300,50
301800,2,2,00902,65
74000,2,3,01202,83
163000,3,4,00301,35
293100,2,2,00902,122
232500,2,3,00501,131
80000,3,3,01002,77
100000,1,1,01600,129
112000,3,2,00507,81
118900,2,5,00901,83
263100,5,4,00601,53
11500,0,1,01003,53
149850,2,2,01006,118
168000,2,3,01106,94
184600,1,2,01300,63
238700,2,2,01003,67
110300,1,1,01201,45
200000,2,2,01500,99
264000,1,3,01004,56
140700,2,2,01500,128
62800,2,2,00100,28
57000,1,1,01103,48
12000,0,1,01107,124
119000,2,2,01202,59
126800,1,1,00504,181
100500,2,2,00602,440
140000,1,2,00802,63
126000,3,2,00601,172
140010,2,6,00902,34
19200,0,1,01300,16
146500,3,2,00602,69
75000,1,1,01003,54
70000,1,1,01300,68
133000,1,2,01004,92
12500,0,1,00801,223
1750,1,1,00502,99
75000,2,2,00804,315
250020,1,2,01003,53
45000,2,2,01202,86
55000,2,5,00504,75
221900,2,2,01600,313
180000,4,4,00400,325
31700,1,1,01500,66
159000,1,1,01203,95
10100,1,1,00503,288
89000,1,1,01201,151
9200,1,1,00700,20
147100,4,4,00302,99
171600,2,2,01006,58
64000,1,1,00302,40
128900,2,3,01007,76
33000,1,2,00805,60
91000,1,1,01204,61
277000,2,5,01003,47
681200,3,3,01105,58
130000,2,2,01203,103
9500,0,1,01003,157
198090,4,2,01202,62
167000,3,4,01105,28
53000,1,1,00302,56
16230,0,1,00504,75
161000,4,3,01001,8
74800,2,6,01003,90
12100,2,2,01003,57
40000,1,2,01104,112
1500,1,2,00801,252
32400,0,2,01104,84
342000,2,6,00901,69
130000,1,2,01004,58
41700,2,2,00504,47
724250,5,5,00302,34
68700,1,1,01007,42
11200,0,1,00100,46
5400,0,2,00803,96
291500,5,5,01300,80
72000,2,2,00200,61
100800,2,5,00200,87
119200,6,4,01107,168
80300,3,3,01300,50
152500,1,2,01003,256
38000,1,1,00100,35
75500,1,1,00100,68
227600,1,2,01500,113
60000,1,4,00503,43
145700,2,2,00502,72
19500,0,1,01600,70
181000,2,3,01002,109
82400,2,3,00803,113
101700,2,2,01201,109
20,1,1,00302,79
261000,2,2,01005,61
107400,2,2,00503,77
95000,1,1,01103,50
56000,4,5,00507,176
688000,2,5,00400,141
213700,2,5,01006,105
28800,2,1,01300,31
392000,3,5,00504,69
24030,1,3,00901,122
70000,1,1,01107,87
189350,3,5,01600,133
578000,1,1,01102,143
246200,1,1,01004,207
340000,4,2,01600,63
78950,3,2,01202,151
11600,0,1,01300,73
152300,2,2,00503,49
162000,2,2,00302,115
270000,2,3,01004,90
158110,5,4,01201,320
25000,1,1,01101,35
14470,1,1,00400,43
137000,4,3,01300,48
91000,2,1,01300,62
9000,1,1,00902,244
36000,2,2,01107,36
107300,3,3,01106,43
108620,2,2,00601,41
102000,2,2,00503,73
27500,1,1,01103,38
130000,1,2,00506,176
1200,1,1,01007,321
16900,2,2,01106,44
97200,2,2,01103,176
150000,2,2,01300,11
13600,1,1,01300,19
65000,2,2,01202,419
103100,1,1,01204,93
61500,2,2,01201,30
86000,1,2,01105,51
256600,2,3,00902,94
145000,1,1,01101,71
160000,5,2,00200,86
744000,3,3,01003,51
54000,1,2,01105,211
247000,3,2,01106,105
20400,0,2,01104,91
10300,1,1,00802,118
190210,2,2,01004,51
140000,2,4,00504,57
88800,2,2,00501,79
85800,2,2,01203,100
132000,3,3,00902,114
84000,2,3,00200,265
107300,3,4,00602,75
150000,1,1,00902,306
94000,2,4,01201,455
16400,2,2,01300,74
200000,2,2,00804,173
188000,4,3,01003,49
26000,1,1,00805,109
207000,0,3,01003,49
63900,2,1,01300,99
194500,2,2,01600,54
14000,0,1,00506,88
72000,1,1,01202,62
14300,2,2,01204,114
340000,2,4,00902,71
170500,3,3,00802,51
112900,3,2,01103,20
132000,3,3,01107,84
104000,1,1,01004,119
20000,0,1,00802,19
200000,2,2,00503,91
100400,1,1,01600,47
198000,2,2,01003,63
33900,2,2,00301,78
107000,2,5,00302,72
57400,1,1,00505,123
48000,2,2,00100,231
87190,3,3,00805,76
257800,4,3,00502,108
129400,4,4,01300,25
83600,0,1,01204,106
140000,1,4,00301,220
12000,1,1,01105,45
67230,2,2,00805,27
69800,3,2,00501,75
103600,3,2,01204,112
86400,2,2,01202,118
391600,2,2,01004,29
72300,1,1,01104,79
81000,1,3,01001,70
112200,1,2,01002,74
40900,1,1,00507,95
80450,3,5,01201,139
9000,1,1,00803,156
360000,3,2,01007,89
156120,1,2,00503,87
109000,1,1,01001,60
67000,0,1,00100,47
110000,1,1,01203,120
350000,2,2,01106,54
53000,1,1,01104,24
134000,2,2,01105,70
108000,5,4,00501,68
155600,1,4,00602,135
148000,1,5,01105,77
127000,2,2,01102,69
27100,1,1,00302,84
25200,1,1,01002,48
140000,2,1,00901,50
64800,0,2,00802,84
69000,1,1,00902,243
300000,3,2,00902,96
7000,0,1,00803,51
112000,1,2,00400,120
9600,1,1,00100,42
4800,2,1,01105,54
35100,3,5,01102,61
116000,1,1,00902,97
84500,1,1,00400,62
91000,1,1,01102,273
14200,1,1,01102,69
111700,2,2,01600,76
271300,2,2,00504,145
73130,2,2,01105,38
47550,2,2,00100,49
24800,3,3,01400,73
103200,1,2,01202,58
14400,3,4,01400,99
170800,2,2,00802,66
65000,2,4,01600,88
57200,0,2,00804,141
93300,3,8,01005,52
40980,2,2,01202,98
160000,1,3,00901,50
93400,2,4,01006,170
70300,1,1,01105,144
296000,1,1,00602,74
159500,2,2,01004,61
198000,2,4,00503,202
67440,2,2,01500,83
207000,2,2,00805,89
98000,2,4,01106,109
177000,4,4,01500,88
6200,0,1,00505,45
357000,1,1,01004,58
87700,3,3,01400,89
118500,3,3,01204,55
247900,6,6,01101,175
315000,3,4,01006,60
225000,2,4,00501,108
37400,0,2,01007,198
181000,2,2,01600,112
134700,2,2,01300,62
79000,1,1,01201,88
117000,5,4,01001,47
93600,2,2,01004,78
58000,1,4,00505,286
237400,3,5,01101,490
229100,1,1,00506,28
4400,2,1,01105,136
29700,2,2,01202,54
116000,2,2,00805,63
125000,2,2,00301,70
828000,2,4,00503,48
65000,0,1,00502,124
194000,3,2,00501,31
326000,3,4,01600,179
131000,2,2,01106,250
196000,2,3,00301,56
30701,3,2,01300,38
10800,2,2,00902,362
230800,1,2,01001,237
10400,1,3,00801,102
141000,2,3,00602,58
21000,2,1,01102,69
117600,3,2,00302,99
95000,1,1,01300,52
74900,1,2,00902,84
194100,0,3,00901,130
147000,2,2,01300,141
136000,3,4,01400,27
57000,2,2,00100,55
229000,4,3,00400,52
53000,1,1,01201,117
54600,0,4,01003,94
9000,1,1,00804,249
57000,4,2,00400,51
231000,3,2,01203,79
75000,1,1,00602,173
153800,2,3,00302,103
22700,1,2,01300,35
68540,2,2,00700,80
215000,1,1,01300,53
50000,1,3,00506,73
54500,2,1,01500,253
12440,1,3,01102,72
165180,3,6,01103,94
663000,2,4,01003,64
137900,2,4,00503,59
139800,2,5,00400,12
50000,5,3,01204,90
85200,2,5,01002,104
61000,0,1,01004,104
50000,1,1,00100,65
109120,3,3,00506,152
25000,1,1,00504,131
78000,2,1,01300,83
235000,1,4,01103,35
250000,2,4,00804,72
85400,3,2,01204,117
128000,4,4,01003,139
17400,1,3,01007,77
228400,2,2,00302,47
9800,1,1,01102,355
100000,2,2,00506,61
117000,2,3,00301,56
227600,4,3,01202,88
233000,3,3,01400,91
528000,2,4,01001,91
6000,1,1,00200,207
285000,1,7,00804,42
48000,1,1,01203,204
97100,3,3,00502,160
189000,2,2,00601,84
24700,1,2,01400,152
80000,3,2,00301,73
79000,2,2,00301,62
125000,2,4,01006,69
312600,3,4,00902,50
65000,2,1,01104,371
110000,1,3,00504,183
195000,2,4,00301,21
75000,1,1,01106,60
170000,3,2,00501,316
94000,2,2,00501,36
62000,0,1,00901,273
115800,2,2,00301,26
131000,2,3,01300,54
128000,2,2,00400,56
105200,3,3,00601,32
4200,2,1,01203,72
22900,1,3,01007,149
620,1,2,01600,123
91000,3,3,01300,34
220000,1,1,01007,28
69760,2,3,00803,618
114800,2,2,01001,57
33600,2,2,00601,75
88200,2,2,01400,56
15000,0,2,01101,52
76000,2,2,01105,59
253500,3,3,01007,52
84100,2,2,00400,45
118000,1,2,01007,139
106000,2,5,01006,47
62500,2,2,00503,52
68000,0,1,00804,75
558000,2,1,00400,61
211000,1,3,00902,122
19100,0,1,01003,267
89400,2,4,00302,201
114000,3,1,01201,47
14500,2,2,00803,125
196500,2,2,01104,61
104610,1,3,01005,115
158500,0,2,01006,50
56000,4,2,01106,103
130000,2,5,01300,14
355550,4,4,01006,64
282300,4,4,01203,95
32000,2,2,00503,89
26700,1,1,00100,13
175080,3,4,00901,93
18500,1,2,00200,32
80000,3,2,01500,77
40000,2,8,00507,66
182900,2,6,01500,302
713800,2,2,01004,56
77840,2,3,00507,42
3000,0,1,01104,192
728000,3,4,00901,90
24000,1,1,00601,28
69600,1,1,01300,113
220400,4,3,01500,150
405000,2,4,01203,60
127200,0,3,01203,105
241000,4,3,00400,48
57800,1,1,01203,93
94000,2,3,00301,36
95200,2,2,01105,47
162600,1,2,01204,123
27900,2,2,00301,53
102000,1,4,00503,90
362000,1,1,00901,98
124700,4,8,00400,340
224800,2,5,01004,47
50000,1,7,00801,174
340000,3,5,01004,34
12000,0,1,00802,117
98200,3,5,01500,38
70000,1,1,00805,31
742000,2,2,01004,97
133000,1,1,01002,76
567000,2,6,00901,90
94000,2,2,00902,93
40000,3,4,00901,87
90100,2,2,01105,69
125000,3,3,00601,184
628000,3,3,01105,241
2500,3,1,00902,65
140000,4,6,00804,78
86100,2,2,00507,39
225000,2,2,01102,85
148000,2,3,01107,71
30100,1,1,00301,33
62700,1,2,01103,48
11440,3,3,01600,76
232200,2,4,01201,62
219400,3,5,00507,108
158800,3,7,00602,220
79600,1,2,01101,59
30000,2,5,00902,98
