field_name,functional_group
out.fuel_oil.total.lrmer_low_re_cost_15.co2e_kg,
out.fuel_oil.total.lrmer_mid_case_15.co2e_kg,
out.fuel_oil.total.lrmer_mid_case_25.co2e_kg,
out.natural_gas.total.lrmer_high_re_cost_15.co2e_kg,
out.natural_gas.total.lrmer_low_re_cost_15.co2e_kg,
out.natural_gas.total.lrmer_mid_case_15.co2e_kg,
out.natural_gas.total.lrmer_mid_case_25.co2e_kg,
out.propane.total.lrmer_high_re_cost_15.co2e_kg,
out.propane.total.lrmer_low_re_cost_15.co2e_kg,
out.propane.total.lrmer_mid_case_15.co2e_kg,
out.propane.total.lrmer_mid_case_25.co2e_kg,
out.bills.all_fuels.usd,utility
out.bills.electricity.usd,utility
out.bills.fuel_oil.usd,utility
out.bills.natural_gas.usd,utility
out.bills.propane.usd,utility
out.energy_burden.percentage,utility
metadata_index,
bldg_id,metadata
